,gene
1108,DNM2
1109,DNMT1
1110,TRDMT1
1111,DNMT3A
1112,DNMT3B
1113,DNTT
1114,DOCK1
1115,DOCK2
1116,DOCK3
1117,DOK1
1118,DPAGT1
1119,DPEP1
1120,DPH2
1121,DPP4
1122,DPP6
1123,DPT
1124,DPYD
1125,DPYS
1126,DPYSL2
1127,DPYSL3
1128,DR1
1129,SLC26A3
1130,DRD1
1131,DRD2
1132,DRD4
1133,DRD5
1134,DRG2
1135,ARID3A
1136,DRP2
1137,ATN1
1138,DSC1
1139,DSC2
1140,DSC3
1141,DSCAM
1142,RCAN1
1143,DSG1
1144,DSG2
1145,DSG3
1146,TSC22D3
1147,DSP
1148,EPYC
1149,SLC26A2
1150,DTNA
1151,DTNB
1152,HBEGF
1153,DTYMK
1154,ECM2
1155,DUSP1
1156,DUSP2
1157,DUSP3
1158,DUSP4
1159,DUSP5
1160,DUSP6
1161,DUSP7
1162,DUSP8
1163,DUSP9
1164,DUT
1165,DVL1
1166,DVL2
1167,DVL3
1168,DYRK1A
1169,TOR1A
1170,E2F1
1171,E2F2
1172,E2F3
1173,E2F4
1174,E2F5
1175,E4F1
1176,GPR183
1177,ECE1
1178,TYMP
1179,ECH1
1180,ECHS1
1181,ECM1
1182,ECT2
1183,EDA
1184,S1PR1
1185,LPAR1
1186,EDN1
1187,EDN2
1188,EDN3
1189,EDNRA
1190,EDNRB
1191,PHC2
1192,EEF1A2
1193,EEF1D
1194,EEF2
1195,EFNA1
1196,EFNA2
1197,EFNA3
1198,EFNA4
1199,EFNA5
1200,EFNB1
1201,EFNB3
1202,EGF
1203,CELSR3
1204,CELSR2
1205,MEGF6
1206,MEGF8
1207,MEGF9
1208,EGFR
1209,EGR1
1210,EGR2
1211,EGR3
1212,EGR4
1213,EHHADH
1214,EIF1AX
1215,EIF2S1
1216,EIF2B1
1217,EPHA2
1218,EIF4A2
1219,EIF4E
1220,EIF4EBP1
1221,EIF4EBP2
1222,EIF4G1
1223,EIF4G2
1224,EIF5
1225,EIF5A
1226,ELANE
1227,SERPINB1
1228,ELAVL2
1229,ELAVL1
