Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE	Absolute score (sig.score)
X18RES13651_1R_T_S_R_RS_T	0.110512787120766	0.202813602670611	0	0.0373861213352511	0.115530379180631	0.384522788063089	0	0.0237204761970253	0	0	0.0545383175565093	0	0.0814955495602604	0.0724674391882397	0.0929599225158937	0.141412265974702	0	0	0.0821766831244205	0	0	0	9999	0.301920714423043	0.961911796361566	1.3995363324874
X18RES10393_1R_T_S_R_RS_T	0	0.00233265548680986	0	0.0124180893908958	0	0.0720931068757513	0	0.0417283423284348	0	0	0.00689685505332575	0.0135029212939146	0.00946129120224908	0.0716829089891732	0.00177288968994082	0.270872324248335	0	0	0.0578404732158977	0	0	0	9999	0.147702644045601	1.04046328696257	0.560601857774728
X18RES09403_1R_T_S_R_RS_T	0.0107354684275334	0.0547842499528756	0	0.269910130357769	0	0.507825409939582	0	0.0743391397786276	0	0	0.00261942910407404	0.132856836704645	0.229732889202256	0	0.0886965617277479	0.596382524677372	0	0.00160944327885289	0.0400157237741299	0	0	0	9999	0.194829439302258	1.00823401491144	2.00950780692546
X18RES10392_1R_T_S_R_RS_T	0	0.0131581116458541	0	0.0584939918516644	0	0.35225853922809	0.0446140848335702	0.00425276944131151	0	0	0.139290887654689	0	0.104490570482373	0.0388555684272528	0.232923606720142	0.28285874903982	0	0.172171632213968	0.0140756359521358	0	0	0.0041076880425897	9999	0.329165553387346	0.954137297175898	1.46155183553346
X18RES04367_1R_T_S_R_RS_T	0	0.0137510539962997	0	0.0581849072670974	0	0.205469255544868	0	0.034516482616322	0	0	0.0160318385305862	0	0.00946157244118684	0	0.0299007921278428	0.452216591024935	0	0	0.0663933062067327	0	0	0.000588284506145513	9999	0.132276414583326	1.03879294369303	0.886514084262016
X18RES10426_1R_T_S_R_RS_T	0	0.0796999779987281	0	0.0641495723199337	0.0265998622288186	0.171696725591584	0	0.0833302756771079	0	0	0.0409639496103764	0	0.0111317359828816	0.41100490780756	0.0276995048364032	0.465510380041016	0	0	0.175344578682279	0	0	0	9999	0.22187306743958	1.00507510526084	1.55713147077669
X18RES13663_1R_T_S_R_RS_T	0.0810117947912066	0.548493231708213	0	0.0173728597219043	0.351702454133666	0.585857598323333	0.0513072822557347	0	0	0	0.116773126143274	0	0.0381841633397126	0	0.0764754470395274	0.315612612485325	0.0127213336779477	0	0.0884512063890473	0	0	0	9999	0.493922555416245	0.869297964873585	2.28396311000889
X18RES10430_2R_T_S_R_RS_T	0	0.209439615796088	0	0.0517255116418683	0	0.31211926682635	0.0164371102436307	0.0746024877737964	0	0	0.0457740417789975	0	0.0428830989728239	0	0.0580333560821549	0.519359381876704	0	0.00454450560897236	0.207408065240244	0	0	0	9999	0.213662223969696	0.992675997670111	1.54232644184163
X18RES04260_1R_T_S_R_RS_T	0.00847794282062636	0.133188369074672	0	0.0873322276292057	0.0476275904697811	0.139353308873551	0	0.0216590242276383	0	0	0	0.0473629670913071	0.0459504523887885	0.0327075951932995	0.0178464233807953	0.274825650774844	0.067202037455175	0	0.290083632801202	0	0	0	9999	0.260581838112625	0.974720183235311	1.21361722218089
X18RES04370_1R_T_S_R_RS_T	0	0.0155229940015725	0	0.0129699016782915	0.00644780296506374	0.0421829560335642	0	0.0720007517944448	0	0	0.0340686872716882	0.000719256077591523	0.00943359506276455	0.288530627642338	0.0403218372969837	0.276828490519204	0	0	0	0.0272383493769381	0	0	9999	0.298709201329286	0.985016985768172	0.826265249720445
X18RES04227_1R_T_S_R_RS_T	0.00461763468074478	0	0	0.0140992524090551	0	0.232105224977523	0.0459261887443117	0	0	0	0.0289042163499802	0	0.0199637796763957	0.0918709360220291	0.0501520051310786	0.533133963990223	0	0.0541748846824333	0.0498429572554685	0	0	0.0167018455665528	9999	0.298720905464828	0.96610965302617	1.1414928894858
X18RES04403_1R_T_S_R_RS_T	0.0160288435160172	0.00741359548440148	0	0.0364384166735228	0	0.357455303072279	0	0	0	0	0.0664591651815419	0	0.0240617551098857	0	0.0356688638315591	0.521960883723413	0.0457827699489846	0	0.15390925161237	0	0	0	9999	0.214816565501636	0.996838254265682	1.26517884815397
