,Unnamed: 0,Approved symbol,Alias symbol,Ensembl gene ID
927,1892.0,ANKZF1,ZNF744,ENSG00000163516
928,1893.0,ANKZF1,Vms1,ENSG00000163516
929,1897.0,ANO1,TAOS2,ENSG00000131620
930,1898.0,ANO1,FLJ10261,ENSG00000131620
931,1899.0,ANO1,DOG1,ENSG00000131620
932,1901.0,ANO2,,ENSG00000047617
933,1902.0,ANO3,GENX-3947,ENSG00000134343
934,1903.0,ANO3,DYT23,ENSG00000134343
935,1916.0,ANO10,FLJ10375,ENSG00000160746
936,1917.0,ANO10,MGC47890,ENSG00000160746
937,1918.0,ANO10,SCAR10,ENSG00000160746
938,1923.0,ANP32A,LANP,ENSG00000140350
939,1924.0,ANP32A,PP32,ENSG00000140350
940,1925.0,ANP32A,I1PP2A,ENSG00000140350
941,1926.0,ANP32A,PHAPI,ENSG00000140350
942,1927.0,ANP32A,MAPM,ENSG00000140350
943,1928.0,ANP32A,mapmodulin,ENSG00000140350
944,1932.0,ANP32B,SSP29,ENSG00000136938
945,1933.0,ANP32B,PHAPI2,ENSG00000136938
946,1934.0,ANP32B,APRIL,ENSG00000136938
947,1940.0,ANP32E,LANPL,ENSG00000143401
948,1941.0,ANP32E,MGC5350,ENSG00000143401
949,1942.0,ANP32E,LANP-L,ENSG00000143401
950,1943.0,ANPEP,LAP1,ENSG00000166825
951,1944.0,ANPEP,gp150,ENSG00000166825
952,1945.0,ANPEP,p150,ENSG00000166825
953,1949.0,ANTXR1,TEM8,ENSG00000169604
954,1950.0,ANTXR1,FLJ21776,ENSG00000169604
955,1951.0,ANTXR1,FLJ10601,ENSG00000169604
956,1952.0,ANTXR1,ATR,ENSG00000169604
957,1958.0,ANXA1,,ENSG00000135046
958,1959.0,ANXA2,LIP2,ENSG00000182718
959,1964.0,ANXA3,,ENSG00000138772
960,1965.0,ANXA4,,ENSG00000196975
961,1966.0,ANXA5,,ENSG00000164111
962,1967.0,ANXA6,,ENSG00000197043
963,1968.0,ANXA7,,ENSG00000138279
964,1972.0,ANXA9,,ENSG00000143412
965,1973.0,ANXA10,ANX14,ENSG00000109511
966,1974.0,ANXA11,,ENSG00000122359
967,1975.0,ANXA13,,ENSG00000104537
968,1976.0,AOAH,,ENSG00000136250
969,1979.0,AOC2,RAO,ENSG00000131480
970,1980.0,AOC2,DAO2,ENSG00000131480
971,1981.0,AOC3,VAP1,ENSG00000131471
972,1982.0,AOC3,HPAO,ENSG00000131471
973,1983.0,AOC3,VAP-1,ENSG00000131471
974,1989.0,AOX1,AO,ENSG00000138356
975,1990.0,AOX1,AOH1,ENSG00000138356
976,1994.0,AP1AR,PRO0971,ENSG00000138660
977,1995.0,AP1AR,2C18,ENSG00000138660
978,1996.0,AP1AR,gamma-BAR,ENSG00000138660
979,1997.0,AP1B1,BAM22,ENSG00000100280
980,1998.0,AP1B1,AP105A,ENSG00000100280
981,2001.0,AP1G1,,ENSG00000166747
982,2002.0,AP1G2,G2AD,ENSG00000213983
983,2005.0,AP1M2,HSMU1B,ENSG00000129354
984,2006.0,AP1M2,mu2,ENSG00000129354
985,2007.0,AP1M2,AP1-mu2,ENSG00000129354
986,2009.0,AP1S1,AP19,ENSG00000106367
987,2010.0,AP1S1,SIGMA1A,ENSG00000106367
988,2011.0,AP1S1,WUGSC:H_DJ0747G18.2,ENSG00000106367
989,2012.0,AP1S2,SIGMA1B,ENSG00000182287
990,2016.0,AP2A2,DKFZP564D1864,ENSG00000183020
991,2017.0,AP2A2,HYPJ,ENSG00000183020
992,2018.0,AP2A2,KIAA0899,ENSG00000183020
993,2019.0,AP2A2,HIP9,ENSG00000183020
994,2020.0,AP2B1,,ENSG00000006125
995,2022.0,AP2M1,AP50,ENSG00000161203
996,2023.0,AP2M1,mu2,ENSG00000161203
997,2024.0,AP2S1,FBHOk,ENSG00000042753
998,2025.0,AP2S1,FBH3,ENSG00000042753
999,2026.0,AP3B1,ADTB3A,ENSG00000132842
1000,2027.0,AP3B1,HPS2,ENSG00000132842
1001,2028.0,AP3B2,NAPTB,ENSG00000103723
1002,2029.0,AP3D1,ADTD,ENSG00000065000
1003,2031.0,AP3M2,CLA20,ENSG00000070718
1004,2032.0,AP3M2,AP47B,ENSG00000070718
1005,2037.0,AP4E1,AP-4-EPSILON,ENSG00000081014
1006,2038.0,AP4E1,SPG51,ENSG00000081014
1007,2039.0,AP4M1,MU-ARP2,ENSG00000221838
1008,2040.0,AP4M1,MU-4,ENSG00000221838
1009,2041.0,AP4M1,SPG50,ENSG00000221838
1010,2042.0,AP4S1,CLA20,ENSG00000100478
1011,2043.0,AP4S1,AP47B,ENSG00000100478
1012,2044.0,AP4S1,SPG52,ENSG00000100478
1013,2054.0,APAF1,CED4,ENSG00000120868
1014,2055.0,APAF1,APAF-1,ENSG00000120868
1015,2056.0,APBA1,D9S411E,ENSG00000107282
1016,2057.0,APBA1,X11,ENSG00000107282
1017,2058.0,APBA2,D15S1518E,ENSG00000034053
1018,2059.0,APBA2,LIN-10,ENSG00000034053
1019,2060.0,APBA2,MGC:14091,ENSG00000034053
1020,2061.0,APBA2,HsT16821,ENSG00000034053
1021,2062.0,APBA3,X11L2,ENSG00000011132
1022,2063.0,APBA3,mint3,ENSG00000011132
1023,2064.0,APBB1,Fe65,ENSG00000166313
1024,2065.0,APBB1IP,INAG1,ENSG00000077420
1025,2066.0,APBB1IP,RIAM,ENSG00000077420
1026,2067.0,APBB2,FE65L,ENSG00000163697
1027,2068.0,APBB2,FE65L1,ENSG00000163697
1028,2069.0,APBB2,MGC35575,ENSG00000163697
1029,2070.0,APBB3,FE65L2,ENSG00000113108
1030,2071.0,APC,DP2,ENSG00000134982
1031,2072.0,APC,DP3,ENSG00000134982
1032,2073.0,APC,DP2.5,ENSG00000134982
1033,2074.0,APC,PPP1R46,ENSG00000134982
1034,2075.0,APC2,APCL,ENSG00000115266
1035,2079.0,APCS,SAP,ENSG00000132703
1036,2080.0,APCS,PTX2,ENSG00000132703
1037,2081.0,APCS,MGC88159,ENSG00000132703
1038,2082.0,APEH,,ENSG00000164062
1039,2086.0,APEX1,APE,ENSG00000100823
1040,2087.0,APEX1,REF1,ENSG00000100823
1041,2088.0,APEX1,HAP1,ENSG00000100823
1042,2089.0,APEX1,APX,ENSG00000100823
1043,2090.0,APEX1,APEN,ENSG00000100823
